Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-1471.787	-1588.716	116.9286	0.000831577	0.00241724	0.0153537	0.000264457	0.00378206	0.000173141	0.00824534	0.00492029	0.000924855	0.000986678	0.000180591	0.00117873	0.000846965	0.00302531	0.00256043	0.0119484	0.0112102	0.0060671	0.00420911	0.00334479	0.00317946	0.00820209	0.00186931	0.000222748	0.00691794	0.0101307	0.00827207	0.00330697	0.0100143	0.00177302	0.00527853	0.00722428	0.00197033	0.0049608	0.000282922	0.00415865	0.00509309	0.00266337	0.00488373	0.00221941	0.00633275	0.000297404	0.000329129	0.00597719	0.00111181	0.002214	0.000600853	0.00182865	0.00234658	0.00295061	0.00368142	0.00429815	0.00344453	0.00102663	0.000213287	0.0109556	0.00104511	0.00348025	0.00148773	0.00236774	0.000438011	0.0193467	0.000120764	0.0121261	0.000313884	0.0163003	0.000177702	0.00230754	0.00296468	0.00276166	0.00291716	0.0116269	0.000268815	0.816184	1.91908	1.582661	0.4173391	0.581956	0.767956	0.920931	1.08586	1.30216	1.71834	0.3914406	0.2636946	2.126495	0.00274671	0.00798416	0.0507134	0.000873505	0.0124922	0.000571887	0.0272344	0.0162518	0.0030548	0.00325901	0.000596493	0.00389334	0.00279753	0.00999261	0.00845711	0.0394656	0.0370272	0.0200397	0.0139027	0.0110479	0.0105018	0.0270916	0.00617435	0.000735739	0.02285	0.0334619	0.0273227	0.0109229	0.0330773	0.00585629	0.017435	0.0238619	0.00650802	0.0163856	0.000934493	0.0137361	0.0168225	0.00879713	0.016131	0.00733072	0.0209171	0.000982327	0.00108712	0.0197427	0.00367231	0.00731286	0.00198462	0.00604003	0.00775079	0.0097459	0.0121598	0.0141968	0.0113773	0.00339095	0.000704489	0.0361864	0.00345202	0.0114953	0.00491399	0.00782066	0.00144676	0.0639024	0.000398883	0.0400527	0.00103676	0.0538401	0.000586951	0.00762183	0.00979235	0.00912179	0.00963541	0.0384036	0.0008879	0.20867	0.79133	0.3027543
30	-1285.799	-1394.77	108.971	0.000834352	0.00280456	0.000466623	8.9812e-05	0.00358635	0.000369139	0.00538931	0.00706952	0.00145885	0.00651876	0.00636319	0.000361263	0.000773962	0.00483998	0.000580905	0.000647994	0.00216046	0.000428204	0.00261874	0.00182002	0.00465196	0.00186691	0.00514518	0.000733918	0.00721277	0.00551483	0.00428794	0.00179908	0.00357743	0.00306007	0.000598407	0.00274944	0.0025594	8.39059e-05	0.00102424	0.000743962	0.00316871	0.00165704	0.00316928	0.00160983	0.000815983	0.000504467	0.000253609	0.00371877	0.0026861	0.000781982	0.000951861	0.00512035	0.0121983	0.00255567	0.00208421	0.00681281	0.00188746	0.00129256	0.00190864	0.00527927	0.000788832	0.00321251	0.00081337	0.00193936	0.000130848	0.0120367	8.93576e-05	0.00754438	0.00341032	0.000993031	0.000279206	0.00143566	0.00200574	0.00484472	0.00256591	0.00174143	0.000248848	0.800656	1.99672	0.0239118	1.976088	0.717533	0.850538	0.950749	1.0518	1.17573	1.39366	0.2400127	82.64071	2.00493	0.00422823	0.0142126	0.0023647	0.000455139	0.0181745	0.00187068	0.0273114	0.0358261	0.007393	0.0330351	0.0322467	0.00183077	0.0039222	0.0245275	0.00294384	0.00328383	0.0109486	0.00217	0.0132709	0.0092233	0.0235747	0.00946092	0.0260742	0.00371927	0.0365521	0.0279475	0.0217299	0.0091172	0.0181293	0.0155075	0.00303254	0.0139333	0.0129702	0.000425209	0.00519053	0.00377017	0.0160581	0.00839736	0.0160609	0.00815811	0.00413515	0.00255648	0.00128521	0.0188455	0.0136123	0.00396284	0.00482373	0.0259484	0.0618171	0.0129513	0.0105622	0.0345252	0.00956507	0.00655028	0.00967237	0.0267537	0.00399756	0.01628	0.00412191	0.00982806	0.000663095	0.0609985	0.000452837	0.0382326	0.0172824	0.00503237	0.00141493	0.00727547	0.0101644	0.0245515	0.0130033	0.00882502	0.00126108	0.988044	0.0119559	0.1973286
60	-1885.964	-1999.938	113.9734	0.000420522	0.000221431	0.000250629	0.000612202	0.000155576	0.00250527	0.00485556	0.00406135	0.00134284	0.00443954	0.00215563	0.000560946	0.00176684	0.00847601	0.00307533	0.00196148	0.000367221	0.000493056	0.00354843	0.00502235	0.00418934	0.00581176	0.00835558	0.00548876	0.00906728	0.00501173	0.00662615	0.00486204	0.000288814	0.00472873	0.00108222	0.0051544	0.00238846	9.55148e-05	0.00092592	0.00106676	0.00491922	0.00233849	0.00577102	0.00290052	0.000334406	0.00387027	0.0093973	0.00382761	0.00285268	0.000714123	0.00889476	0.00713143	0.0111055	0.000698852	0.00923713	0.0104441	0.00719437	0.00759899	0.0013953	0.00202825	0.00141057	0.00496429	0.0014279	0.00526573	0.000476905	0.0154598	3.55485e-05	0.0118464	0.00471955	0.00602919	0.000598893	0.00221852	0.00619049	0.000396442	0.0099816	0.0129116	0.0023506	0.897903	1.51049	0.4033372	1.596663	0.749945	0.869064	0.957162	1.04476	1.15066	1.33343	0.2080665	3.95863	2.972231	0.0014	0.000737184	0.000834391	0.00203813	0.00051794	0.00834051	0.016165	0.013521	0.00447055	0.01478	0.00717647	0.00186749	0.00588213	0.0282182	0.0102383	0.00653014	0.00122255	0.00164147	0.0118134	0.0167203	0.0139471	0.0193484	0.0278173	0.0182731	0.0301866	0.016685	0.0220597	0.0161866	0.000961515	0.0157428	0.00360291	0.01716	0.00795163	0.000317986	0.00308256	0.00355143	0.016377	0.00778525	0.0192128	0.00965637	0.0011133	0.0128849	0.0312853	0.0127428	0.0094971	0.00237745	0.0296123	0.0237418	0.0369721	0.00232661	0.0307521	0.0347702	0.0239514	0.0252984	0.00464522	0.00675241	0.00469604	0.016527	0.00475373	0.0175306	0.0015877	0.0514687	0.000118348	0.0394387	0.0157123	0.0200723	0.00199382	0.00738587	0.0206093	0.00131983	0.0332306	0.0429852	0.00782556	0.798331	0.201669	0.300374
90	-1264.676	-1383.618	118.9418	0.00352588	0.000714878	0.000218212	0.00301959	0.000150993	0.0024222	0.00673885	0.00392089	0.0221608	0.00310959	0.0241207	0.00653079	0.00825993	0.0023402	0.0019907	0.00592662	0.00272768	0.00738427	0.00404139	0.0112359	0.00117506	0.0093195	0.0136454	0.0194402	0.0349722	0.00717289	0.0177468	0.00692742	0.00118977	0.00607269	0.00301259	0.00293901	0.00396528	0.00393003	0.0106637	0.00171008	0.00788581	0.0138061	0.00723187	0.0103633	0.00584597	0.000195202	0.011088	0.0113599	0.00236981	0.00227437	0.0125759	0.00710279	0.0170362	0.0133009	0.00475471	0.0101427	0.00484756	0.0224018	0.00230161	0.00495599	0.0201816	0.0157162	0.000827899	0.00424005	0.000972181	0.00453162	0.000184941	0.00344551	0.00774367	0.0201649	0.00144309	0.00355643	0.00992375	0.00744529	0.000259701	0.0107851	0.0139929	0.0722865	5.63857	1.890916	0.1090836	0.0793241	0.290561	0.680048	1.47048	3.44162	12.6065	1.832411	0.05768825	0.06410004	0.0062774	0.00127276	0.000388499	0.00537603	0.000268825	0.00431243	0.0119977	0.00698067	0.0394546	0.00553625	0.042944	0.0116273	0.0147058	0.00416645	0.00354421	0.0105516	0.00485632	0.0131468	0.00719522	0.0200041	0.00209206	0.0165922	0.024294	0.0346109	0.0622639	0.0127705	0.031596	0.0123334	0.00211824	0.0108117	0.00536355	0.00523256	0.00705971	0.00699695	0.0189855	0.00304458	0.0140397	0.02458	0.0128755	0.0184506	0.010408	0.000347533	0.0197408	0.0202249	0.00421916	0.00404924	0.0223898	0.0126457	0.0303309	0.0236806	0.00846519	0.0180578	0.0086305	0.0398838	0.00409774	0.00882354	0.0359309	0.0279808	0.00147398	0.00754891	0.00173085	0.00806801	0.000329266	0.00613431	0.0137867	0.0359012	0.00256926	0.0063318	0.017668	0.0132554	0.000462367	0.0192016	0.0249127	0.0545418	0.945458	0.5616779
120	-1313.94	-1422.612	108.6725	0.000239248	0.00160249	0.00116412	0.00809429	0.000805713	0.00174014	0.00592594	0.0135852	0.00426913	0.00130403	0.0147907	0.00578752	0.00915409	0.00522987	0.00842784	0.00774774	0.0116603	0.00369373	0.000887705	0.00324916	0.0026401	0.00717435	0.008788	0.00728236	0.0373684	0.00663176	0.0157071	0.0119437	0.00124634	0.00738938	0.00320189	0.00465065	0.00371142	0.00130427	0.00503046	0.00664421	0.00863026	0.00351431	0.000432205	0.00884449	0.00673728	0.00512819	0.00644	0.00998954	0.00168589	0.00342209	0.0215135	0.00866853	0.0149811	0.0116964	0.00418115	0.00307018	0.00426279	0.00990259	0.003951	0.00536059	0.0149733	0.0138973	0.00424497	0.00499547	0.0106567	0.0087094	0.00394477	0.008067	0.00210432	0.00461776	0.00414909	0.0251282	0.00898299	0.00162043	0.00532937	0.0114835	0.00275669	1.05802	0.709922	0.04742584	1.952574	0.49344	0.708581	0.898099	1.11346	1.41127	2.02659	0.5107422	41.1711	7.451632	0.000461738	0.00309273	0.0022467	0.0156216	0.00155499	0.0033584	0.0114368	0.0262189	0.00823922	0.00251672	0.0285454	0.0111697	0.017667	0.0100934	0.0162654	0.0149528	0.0225039	0.00712873	0.00171323	0.00627074	0.00509528	0.0138462	0.0169604	0.0140546	0.0721193	0.012799	0.0303141	0.0230509	0.00240537	0.0142612	0.0061795	0.00897555	0.00716287	0.00251717	0.00970856	0.012823	0.016656	0.00678246	0.000834136	0.0170695	0.0130027	0.00989718	0.0124289	0.0192794	0.00325369	0.00660448	0.04152	0.0167299	0.0289129	0.0225735	0.00806943	0.00592532	0.008227	0.0191116	0.00762525	0.0103457	0.0288977	0.0268212	0.00819261	0.00964104	0.0205669	0.0168088	0.00761322	0.0155689	0.00406125	0.00891208	0.00800757	0.0484962	0.0173368	0.00312736	0.0102854	0.0221626	0.00532029	0.976287	0.0237129	0.5181467
150	-1359.285	-1472.378	113.093	0.000709347	0.0227996	0.00499786	0.0308619	0.0096691	0.00852024	0.0261124	0.0402789	0.00920896	0.00578112	0.0731052	0.0266784	0.0316832	0.00307921	0.0239155	0.00151359	0.0200911	0.0293569	0.0195228	0.0250162	0.019154	0.00843698	0.0301522	0.0289998	0.0493314	0.0163397	0.0249603	0.0593328	9.94939e-06	0.0321927	0.00231416	0.0196291	0.0120536	0.0381795	0.0404391	0.00497877	0.00113359	0.0120498	0.00553787	0.0162842	0.00289625	0.0207321	0.0266889	0.031505	0.00839221	0.0215906	0.0520462	0.00630049	0.00989702	0.0155777	0.0777143	0.00995259	0.0038673	0.0203365	0.0129772	0.0383763	0.0160551	0.0322347	0.0388131	0.0281178	0.0451684	0.0528689	0.0584709	0.106216	0.0105019	0.0145479	0.00189697	0.0143348	0.0266337	0.00271096	0.0187252	0.0130215	0.0739583	0.645305	2.77347	0.2195568	1.780443	0.985611	0.992956	0.997797	1.00221	1.00709	1.0146	0.01047975	8.10926	1.163352	0.000405912	0.0130467	0.00285994	0.0176602	0.00553299	0.00487557	0.0149424	0.023049	0.00526968	0.00330815	0.0418332	0.0152663	0.0181302	0.00176203	0.0136852	0.000866129	0.0114968	0.016799	0.0111716	0.0143151	0.0109605	0.00482792	0.0172541	0.0165947	0.0282291	0.00935015	0.0142831	0.0339522	5.69338e-06	0.0184217	0.00132424	0.0112324	0.00689746	0.0218476	0.0231406	0.00284902	0.000648681	0.00689527	0.00316896	0.00931834	0.00165733	0.0118636	0.0152723	0.0180282	0.00480231	0.0123549	0.0297826	0.00360535	0.00566341	0.00891408	0.0444707	0.00569521	0.002213	0.0116372	0.007426	0.0219602	0.00918726	0.0184458	0.0222102	0.0160899	0.0258469	0.0302533	0.033459	0.0607804	0.00600952	0.00832479	0.00108551	0.00820284	0.0152407	0.0015513	0.0107152	0.00745132	0.0423214	0.890222	0.109778	1.747538
180	-1246.34	-1364.032	117.6912	2.57267e-05	0.0114656	0.00204657	0.00352503	0.023771	0.00155117	0.0137296	0.0146031	0.00144419	0.0282776	0.0402131	0.0343425	0.013362	0.000812558	0.00290637	0.00506634	0.011453	0.018952	0.00174149	0.00130098	0.00323945	0.0167596	0.00218753	0.0396062	0.0112994	0.0116963	0.0113354	0.0302372	1.73957e-05	0.0390431	0.00355672	0.00118568	0.00859178	0.00698925	0.0101456	0.008446	0.00550845	0.00315403	0.0046892	0.033706	0.0219014	0.00514601	0.00856949	0.0169054	0.0089964	0.0117213	0.0273786	0.00427284	0.00638925	0.00539325	0.0110998	0.00313368	0.00249662	0.0192189	0.0170448	0.07306	0.00343927	0.00595625	0.0102013	0.0678082	0.0215234	0.0219015	0.00898196	0.0211868	0.00170951	0.00798525	0.00551917	0.020662	0.0117842	0.00796063	0.0169414	0.00947288	0.00928264	0.573882	3.13059	1.806962	0.1930377	0.302695	0.558323	0.833744	1.19941	1.79108	3.30365	0.8640878	0.1068299	0.9165722	2.63316e-05	0.0117352	0.00209468	0.00360791	0.0243299	0.00158764	0.0140524	0.0149465	0.00147814	0.0289424	0.0411586	0.0351499	0.0136762	0.000831663	0.00297471	0.00518546	0.0117223	0.0193976	0.00178244	0.00133157	0.00331561	0.0171537	0.00223896	0.0405374	0.0115651	0.0119713	0.011602	0.0309481	1.78047e-05	0.039961	0.00364034	0.00121356	0.00879379	0.00715358	0.0103842	0.00864458	0.00563796	0.00322818	0.00479945	0.0344985	0.0224164	0.005267	0.00877098	0.0173028	0.00920792	0.0119969	0.0280223	0.0043733	0.00653948	0.00552005	0.0113607	0.00320735	0.00255532	0.0196708	0.0174456	0.0747778	0.00352014	0.0060963	0.0104411	0.0694025	0.0220294	0.0224165	0.00919315	0.0216849	0.00174971	0.008173	0.00564894	0.0211478	0.0120613	0.00814779	0.0173397	0.0096956	0.00950089	0.0965188	0.903481	0.9770283
210	-1168.755	-1280.025	111.2701	3.19705e-05	0.0327621	0.00545265	0.0133401	0.00813855	0.0246855	0.0333602	0.0240557	0.00641969	0.0221559	0.0179584	0.0368374	0.0133681	0.00276875	0.00845126	0.0903859	0.0133616	0.0185205	0.0226165	0.00673643	0.00906171	0.0036289	0.00369771	0.00891626	0.00406055	0.0316874	0.00605824	0.00719827	1.47067e-05	0.0171678	0.00189038	0.00244382	0.00168524	0.0127275	0.000230758	0.0205521	0.00787785	0.00351491	0.0206323	0.00134526	0.0234925	0.00443234	0.016564	0.00844025	0.00889808	0.0113522	0.0355241	0.000708874	0.0126673	0.00860703	0.0222363	0.00962175	0.0180654	0.0119318	0.0463209	0.0783677	0.00132601	0.010675	0.00617062	0.0131038	0.00662423	0.0201576	0.00686722	0.01033	0.000355442	0.00441966	0.00527118	0.0189255	0.0593808	0.00123011	0.00585816	0.00532276	0.0541205	1.1092	0.453987	1.873683	0.1263174	0.00425405	0.0697527	0.435725	2.29503	14.3364	235.07	3.947872	0.06741664	12.21625	2.87203e-05	0.0294315	0.00489832	0.0119839	0.00731117	0.0221759	0.0299688	0.0216101	0.00576704	0.0199035	0.0161327	0.0330924	0.0120091	0.00248727	0.00759208	0.081197	0.0120033	0.0166377	0.0203173	0.00605159	0.00814047	0.00325998	0.00332179	0.00800981	0.00364774	0.0284659	0.00544234	0.00646648	1.32115e-05	0.0154225	0.00169819	0.00219538	0.00151391	0.0114336	0.000207299	0.0184627	0.00707697	0.00315757	0.0185348	0.0012085	0.0211042	0.00398173	0.01488	0.00758219	0.00799347	0.0101981	0.0319126	0.000636808	0.0113795	0.00773202	0.0199757	0.00864357	0.0162288	0.0107188	0.0416118	0.0704006	0.00119121	0.00958976	0.0055433	0.0117716	0.00595079	0.0181083	0.00616907	0.00927981	0.000319307	0.00397035	0.0047353	0.0170015	0.053344	0.00110505	0.0052626	0.00478164	0.0486184	0.0631587	0.936841	1.113168
240	-1310.875	-1420.309	109.4343	5.7086e-05	0.0133325	0.0115859	0.00470493	0.00797151	0.0149306	0.00831719	0.0145496	0.0158985	0.0258258	0.0127791	0.018323	0.0175951	0.000911557	0.00364338	0.0564328	0.00477622	0.00870501	0.0051782	0.00407441	0.00504478	0.0167204	0.00259078	0.00839794	0.0105936	0.00617609	0.00969514	0.0119751	1.08327e-05	0.00579575	0.0052329	0.00899612	0.00145506	0.00769798	0.000191073	0.00665893	0.0142805	0.000283811	0.0389962	0.00177104	0.0161692	0.0136993	0.0042385	0.00866745	0.00602055	0.0132438	0.0214861	0.000169386	0.00553346	0.00354525	0.0159469	0.0123201	0.0109265	0.00927633	0.0164978	0.0481667	0.00363035	0.0292309	0.0239062	0.0139833	0.00522628	0.00875335	0.00107519	0.012062	0.00015209	0.000454917	0.00384869	0.0122537	0.0376033	0.00310717	0.00702574	0.0383582	0.0178247	0.180011	5.09995	0.02118341	1.978817	0.0832363	0.297464	0.685048	1.45975	3.36176	12.014	1.797601	93.41348	0.1764828	6.8239e-05	0.0159373	0.0138495	0.00562414	0.00952892	0.0178476	0.00994213	0.0173922	0.0190046	0.0308714	0.0152757	0.0219028	0.0210327	0.00108965	0.0043552	0.0674582	0.00570936	0.0104057	0.00618988	0.00487044	0.00603038	0.0199871	0.00309695	0.0100387	0.0126632	0.00738273	0.0115893	0.0143147	1.29491e-05	0.00692807	0.00625526	0.0107537	0.00173933	0.00920195	0.000228403	0.0079599	0.0170705	0.00033926	0.046615	0.00211705	0.0193282	0.0163757	0.00506658	0.0103608	0.00719679	0.0158313	0.0256839	0.00020248	0.00661454	0.00423789	0.0190624	0.0147271	0.0130613	0.0110887	0.019721	0.0575771	0.00433961	0.0349418	0.0285768	0.0167152	0.00624734	0.0104635	0.00128525	0.0144186	0.000181804	0.000543795	0.00460061	0.0146477	0.0449499	0.00371422	0.00839837	0.0458523	0.0213072	0.989408	0.0105917	0.8365598
270	-1761.012	-1876.268	115.2568	2.11052e-05	0.00830565	0.00567047	0.00442724	0.000152987	0.00569957	0.00250497	0.00518237	0.00537823	0.00494718	0.00840621	0.00421672	0.0077626	0.00871106	0.00210399	0.0190904	0.00639783	0.0050986	0.0130209	0.00212633	0.00211574	0.00565628	0.000909635	0.00255169	0.0035297	0.00297483	0.0156749	0.00506953	2.85924e-05	0.00469882	0.00640972	0.00520081	0.000357373	0.00113819	0.000366019	0.0049751	0.00593773	9.69179e-05	0.00477133	0.00159726	0.00252421	0.00121711	0.00347261	0.00196425	0.0139119	0.000958693	0.00886337	0.000323346	0.00187189	0.0023869	0.00782606	0.0032924	0.00015543	0.0147159	0.0101149	0.00317313	0.00360115	0.00186971	0.00220929	0.00295759	0.00164387	0.00721661	0.000667953	0.00341355	0.000292206	0.00629639	0.00128563	0.00485674	0.00810429	0.00211322	0.000794062	0.012976	0.00301348	0.114887	5.42556	0.3401934	1.659807	0.120631	0.356471	0.724836	1.37962	2.80527	8.28976	1.529306	4.879008	0.105876	6.3309e-05	0.0249143	0.0170096	0.0132803	0.000458913	0.0170969	0.00751412	0.0155455	0.016133	0.01484	0.025216	0.0126488	0.0232853	0.0261304	0.00631132	0.0572653	0.0191915	0.0152942	0.0390586	0.00637833	0.00634654	0.0169671	0.00272862	0.00765426	0.010588	0.00892354	0.0470198	0.015207	8.57681e-05	0.014095	0.0192271	0.0156008	0.00107201	0.0034142	0.00109794	0.0149237	0.0178113	0.000290723	0.0143125	0.00479126	0.00757182	0.00365094	0.0104167	0.00589213	0.0417312	0.00287578	0.0265873	0.000969937	0.00561508	0.00715996	0.0234757	0.00987616	0.000466241	0.0441429	0.0303415	0.00951839	0.0108023	0.00560855	0.00662716	0.00887184	0.0049311	0.0216476	0.00200365	0.0102396	0.000876526	0.0188872	0.00385648	0.0145687	0.0243103	0.006339	0.00238193	0.038924	0.00903948	0.829903	0.170097	0.3333684
